description,severity
System restore points deleted unexpectedly found during analysis.,High
Suspicious modification of AppInit_DLLs registry key,High
Security event - Suspicious modification of AppInit_DLLs registry key,High
Alert generated: Suspicious modification of AppInit_DLLs registry key,High
Detected activity: Suspicious modification of AppInit_DLLs registry key,High
Code signing certificate abuse detected,High
Suspicious behavior: Code signing certificate abuse detected,High
Code signing certificate abuse detected observed by monitoring service.,High
Code signing certificate abuse detected detected on host system.,High
Cloud audit logging disabled,High
Cloud audit logging disabled found during analysis.,High
Security event - Cloud audit logging disabled,High
Alert generated: Cloud audit logging disabled,High
Suspicious PowerShell download cradle usage,High
Suspicious PowerShell download cradle usage found during analysis.,High
Alert generated: Suspicious PowerShell download cradle usage,High
Suspicious PowerShell download cradle usage observed by monitoring service.,High
Multiple failed attempts to disable EDR,Critical
Security event - Multiple failed attempts to disable EDR,Critical
Multiple failed attempts to disable EDR was triggered on endpoint.,Critical
Multiple failed attempts to disable EDR observed by monitoring service.,Critical
Unusual process spawning from legitimate binary,High
Security event - Unusual process spawning from legitimate binary,High
Unusual process spawning from legitimate binary detected on host system.,High
Alert generated: Unusual process spawning from legitimate binary,High
Suspicious abuse of mshta.exe,High
Alert generated: Suspicious abuse of mshta.exe,High
Suspicious behavior: Suspicious abuse of mshta.exe,High
Suspicious abuse of mshta.exe was triggered on endpoint.,High
Malicious VBScript execution attempt,Medium
Malicious VBScript execution attempt was triggered on endpoint.,Medium
Malicious VBScript execution attempt found during analysis.,Medium
Security event - Malicious VBScript execution attempt,Medium
Execution of script via wscript.exe from temp folder,High
Execution of script via wscript.exe from temp folder observed by monitoring service.,High
Execution of script via wscript.exe from temp folder detected on host system.,High
Suspicious behavior: Execution of script via wscript.exe from temp folder,High
Suspicious parent-child process relationship,High
Suspicious parent-child process relationship found during analysis.,High
Suspicious parent-child process relationship detected on host system.,High
Suspicious parent-child process relationship activity logged.,High
Suspicious binary execution from recycle bin,Medium
Suspicious binary execution from recycle bin found during analysis.,Medium
Suspicious binary execution from recycle bin activity logged.,Medium
System alert: Suspicious binary execution from recycle bin,Medium
Hidden scheduled task execution detected,High
System alert: Hidden scheduled task execution detected,High
Hidden scheduled task execution detected activity logged.,High
Suspicious behavior: Hidden scheduled task execution detected,High
Suspicious executable launched from USB drive,High
Detected activity: Suspicious executable launched from USB drive,High
Suspicious behavior: Suspicious executable launched from USB drive,High
Suspicious executable launched from USB drive activity logged.,High
Execution of unsigned driver detected,Critical
Execution of unsigned driver detected activity logged.,Critical
Execution of unsigned driver detected observed by monitoring service.,Critical
Security event - Execution of unsigned driver detected,Critical
Abnormal DLL loaded by critical system process,High
Abnormal DLL loaded by critical system process activity logged.,High
System alert: Abnormal DLL loaded by critical system process,High
Alert generated: Abnormal DLL loaded by critical system process,High
Suspicious injection into explorer.exe,High
Suspicious injection into explorer.exe found during analysis.,High
Suspicious behavior: Suspicious injection into explorer.exe,High
Security event - Suspicious injection into explorer.exe,High
Use of process hollowing technique detected,Critical
Use of process hollowing technique detected was triggered on endpoint.,Critical
System alert: Use of process hollowing technique detected,Critical
Alert generated: Use of process hollowing technique detected,Critical
Modification of authentication logs,High
Modification of authentication logs was triggered on endpoint.,High
Modification of authentication logs found during analysis.,High
Modification of authentication logs detected on host system.,High
Tampering with syslog configuration,High
Tampering with syslog configuration observed by monitoring service.,High
Tampering with syslog configuration detected on host system.,High
System alert: Tampering with syslog configuration,High
Suspicious modification of sudoers file,Critical
Suspicious modification of sudoers file detected on host system.,Critical
Suspicious modification of sudoers file activity logged.,Critical
Suspicious modification of sudoers file observed by monitoring service.,Critical
Rootkit behavior detected on Linux host,Critical
Detected activity: Rootkit behavior detected on Linux host,Critical
Rootkit behavior detected on Linux host was triggered on endpoint.,Critical
Rootkit behavior detected on Linux host detected on host system.,Critical
Privilege escalation attempt via kernel exploit,Critical
Privilege escalation attempt via kernel exploit found during analysis.,Critical
Suspicious behavior: Privilege escalation attempt via kernel exploit,Critical
System alert: Privilege escalation attempt via kernel exploit,Critical
Use of bypass tool to disable AppLocker,High
Use of bypass tool to disable AppLocker was triggered on endpoint.,High
Use of bypass tool to disable AppLocker detected on host system.,High
Use of bypass tool to disable AppLocker activity logged.,High
Obfuscation through string encoding in script,Medium
Obfuscation through string encoding in script observed by monitoring service.,Medium
System alert: Obfuscation through string encoding in script,Medium
Detected activity: Obfuscation through string encoding in script,Medium
Suspicious base64 decoding in script execution,High
Suspicious base64 decoding in script execution detected on host system.,High
Suspicious base64 decoding in script execution found during analysis.,High
Suspicious behavior: Suspicious base64 decoding in script execution,High
Credential theft attempt from Windows vault,High
Credential theft attempt from Windows vault detected on host system.,High
System alert: Credential theft attempt from Windows vault,High
Credential theft attempt from Windows vault found during analysis.,High
Credential theft attempt from Linux keyring,High
Security event - Credential theft attempt from Linux keyring,High
Alert generated: Credential theft attempt from Linux keyring,High
System alert: Credential theft attempt from Linux keyring,High
Brute force attack against Kerberos service,High
System alert: Brute force attack against Kerberos service,High
Brute force attack against Kerberos service detected on host system.,High
Suspicious behavior: Brute force attack against Kerberos service,High
Kerberos golden ticket creation detected,Critical
Security event - Kerberos golden ticket creation detected,Critical
Kerberos golden ticket creation detected found during analysis.,Critical
Kerberos golden ticket creation detected activity logged.,Critical
Kerberos silver ticket creation detected,Critical
Alert generated: Kerberos silver ticket creation detected,Critical
Kerberos silver ticket creation detected detected on host system.,Critical
Security event - Kerberos silver ticket creation detected,Critical
Credential harvesting from browser autofill,High
Alert generated: Credential harvesting from browser autofill,High
Credential harvesting from browser autofill found during analysis.,High
Credential harvesting from browser autofill activity logged.,High
Suspicious SAM database access attempt,Critical
System alert: Suspicious SAM database access attempt,Critical
Alert generated: Suspicious SAM database access attempt,Critical
Suspicious SAM database access attempt activity logged.,Critical
Credential theft via clipboard scraping,High
Credential theft via clipboard scraping observed by monitoring service.,High
Suspicious behavior: Credential theft via clipboard scraping,High
Credential theft via clipboard scraping was triggered on endpoint.,High
Password spraying attack detected,High
Detected activity: Password spraying attack detected,High
Password spraying attack detected observed by monitoring service.,High
Alert generated: Password spraying attack detected,High
Suspicious OAuth token theft attempt,High
Suspicious OAuth token theft attempt activity logged.,High
System alert: Suspicious OAuth token theft attempt,High
Security event - Suspicious OAuth token theft attempt,High
API key theft attempt in cloud environment,High
System alert: API key theft attempt in cloud environment,High
API key theft attempt in cloud environment found during analysis.,High
Alert generated: API key theft attempt in cloud environment,High
Unusual number of failed authentication events,Medium
Suspicious behavior: Unusual number of failed authentication events,Medium
Unusual number of failed authentication events activity logged.,Medium
Unusual number of failed authentication events observed by monitoring service.,Medium
Password hash extraction from memory,Critical
Detected activity: Password hash extraction from memory,Critical
Alert generated: Password hash extraction from memory,Critical
System alert: Password hash extraction from memory,Critical
Suspicious LDAPS bind request flood,High
Suspicious LDAPS bind request flood observed by monitoring service.,High
Suspicious LDAPS bind request flood activity logged.,High
System alert: Suspicious LDAPS bind request flood,High
Malicious prompt for MFA code,Critical
Malicious prompt for MFA code detected on host system.,Critical
Malicious prompt for MFA code found during analysis.,Critical
Security event - Malicious prompt for MFA code,Critical
Suspicious directory traversal for sensitive files,High
Suspicious directory traversal for sensitive files found during analysis.,High
Suspicious behavior: Suspicious directory traversal for sensitive files,High
System alert: Suspicious directory traversal for sensitive files,High
System information discovery via systeminfo command,Medium
Alert generated: System information discovery via systeminfo command,Medium
System information discovery via systeminfo command detected on host system.,Medium
System information discovery via systeminfo command observed by monitoring service.,Medium
OS version discovery in PowerShell script,Medium
System alert: OS version discovery in PowerShell script,Medium
Security event - OS version discovery in PowerShell script,Medium
Suspicious behavior: OS version discovery in PowerShell script,Medium
Listing of active network interfaces,Medium
Listing of active network interfaces activity logged.,Medium
Listing of active network interfaces observed by monitoring service.,Medium
Listing of active network interfaces found during analysis.,Medium
Suspicious execution of netstat with output redirect,Medium
Suspicious behavior: Suspicious execution of netstat with output redirect,Medium
Detected activity: Suspicious execution of netstat with output redirect,Medium
Alert generated: Suspicious execution of netstat with output redirect,Medium
Windows domain trust enumeration detected,High
Security event - Windows domain trust enumeration detected,High
Detected activity: Windows domain trust enumeration detected,High
System alert: Windows domain trust enumeration detected,High
Suspicious LDAP query for user attributes,Medium
System alert: Suspicious LDAP query for user attributes,Medium
Alert generated: Suspicious LDAP query for user attributes,Medium
Suspicious LDAP query for user attributes found during analysis.,Medium
MAC address enumeration of network adapters,Low
System alert: MAC address enumeration of network adapters,Low
MAC address enumeration of network adapters activity logged.,Low
MAC address enumeration of network adapters found during analysis.,Low
Suspicious SMB share enumeration activity,Medium
Suspicious SMB share enumeration activity activity logged.,Medium
Alert generated: Suspicious SMB share enumeration activity,Medium
Suspicious SMB share enumeration activity was triggered on endpoint.,Medium
Unusual ICMP ping sweep,Medium
Unusual ICMP ping sweep observed by monitoring service.,Medium
Unusual ICMP ping sweep was triggered on endpoint.,Medium
Security event - Unusual ICMP ping sweep,Medium
Cloud storage object metadata enumeration,Medium
Cloud storage object metadata enumeration observed by monitoring service.,Medium
Detected activity: Cloud storage object metadata enumeration,Medium
Cloud storage object metadata enumeration was triggered on endpoint.,Medium
Suspicious ARP broadcast flood,Medium
Suspicious ARP broadcast flood was triggered on endpoint.,Medium
Detected activity: Suspicious ARP broadcast flood,Medium
Suspicious behavior: Suspicious ARP broadcast flood,Medium
Network connection discovery via net command,Medium
Network connection discovery via net command detected on host system.,Medium
Network connection discovery via net command found during analysis.,Medium
Security event - Network connection discovery via net command,Medium
Database table enumeration detected,Medium
Database table enumeration detected activity logged.,Medium
Database table enumeration detected was triggered on endpoint.,Medium
Alert generated: Database table enumeration detected,Medium
Application window enumeration via API calls,Low
System alert: Application window enumeration via API calls,Low
Application window enumeration via API calls detected on host system.,Low
Security event - Application window enumeration via API calls,Low
Security product process enumeration,Medium
Suspicious behavior: Security product process enumeration,Medium
System alert: Security product process enumeration,Medium
Alert generated: Security product process enumeration,Medium
Suspicious PowerShell AD module usage,High
Suspicious PowerShell AD module usage activity logged.,High
Suspicious PowerShell AD module usage found during analysis.,High
Security event - Suspicious PowerShell AD module usage,High
Port scanning from internal host,Medium
Security event - Port scanning from internal host,Medium
Suspicious behavior: Port scanning from internal host,Medium
Detected activity: Port scanning from internal host,Medium
Enumerating cloud IAM roles,Medium
Enumerating cloud IAM roles detected on host system.,Medium
Detected activity: Enumerating cloud IAM roles,Medium
Enumerating cloud IAM roles activity logged.,Medium
Suspicious use of system profiler command,Low
Detected activity: Suspicious use of system profiler command,Low
Suspicious use of system profiler command found during analysis.,Low
Suspicious use of system profiler command detected on host system.,Low
Unusual read of /proc files for process list,Medium
Unusual read of /proc files for process list was triggered on endpoint.,Medium
System alert: Unusual read of /proc files for process list,Medium
Unusual read of /proc files for process list observed by monitoring service.,Medium
Enumeration of running containers,Medium
Security event - Enumeration of running containers,Medium
System alert: Enumeration of running containers,Medium
Enumeration of running containers detected on host system.,Medium
Unusual number of directory listing commands,Medium
System alert: Unusual number of directory listing commands,Medium
Unusual number of directory listing commands activity logged.,Medium
Unusual number of directory listing commands observed by monitoring service.,Medium
Cloud service region inventory enumeration,Medium
Security event - Cloud service region inventory enumeration,Medium
Detected activity: Cloud service region inventory enumeration,Medium
System alert: Cloud service region inventory enumeration,Medium
Remote desktop connection from unauthorized IP,Critical
Alert generated: Remote desktop connection from unauthorized IP,Critical
Remote desktop connection from unauthorized IP found during analysis.,Critical
Detected activity: Remote desktop connection from unauthorized IP,Critical
Pass-the-ticket lateral movement attempt,Critical
Alert generated: Pass-the-ticket lateral movement attempt,Critical
Pass-the-ticket lateral movement attempt was triggered on endpoint.,Critical
Pass-the-ticket lateral movement attempt activity logged.,Critical
SMB lateral movement using stolen credentials,High
Security event - SMB lateral movement using stolen credentials,High
SMB lateral movement using stolen credentials detected on host system.,High
Suspicious behavior: SMB lateral movement using stolen credentials,High
Remote PowerShell session from unknown host,High
Remote PowerShell session from unknown host activity logged.,High
Remote PowerShell session from unknown host found during analysis.,High
Remote PowerShell session from unknown host was triggered on endpoint.,High
Remote service creation from external source,High
Remote service creation from external source found during analysis.,High
Security event - Remote service creation from external source,High
System alert: Remote service creation from external source,High
PsExec lateral movement attempt detected,High
Security event - PsExec lateral movement attempt detected,High
PsExec lateral movement attempt detected activity logged.,High
Detected activity: PsExec lateral movement attempt detected,High
DCOM abuse for remote execution,High
Security event - DCOM abuse for remote execution,High
DCOM abuse for remote execution was triggered on endpoint.,High
Suspicious behavior: DCOM abuse for remote execution,High
Windows admin share access from suspicious IP,High
Windows admin share access from suspicious IP observed by monitoring service.,High
Alert generated: Windows admin share access from suspicious IP,High
Windows admin share access from suspicious IP was triggered on endpoint.,High
Malicious scheduled task pushed remotely,High
Suspicious behavior: Malicious scheduled task pushed remotely,High
Malicious scheduled task pushed remotely found during analysis.,High
Alert generated: Malicious scheduled task pushed remotely,High
Remote WMI execution from external source,High
System alert: Remote WMI execution from external source,High
Detected activity: Remote WMI execution from external source,High
Suspicious behavior: Remote WMI execution from external source,High
Remote code execution via WinRM service,High
Remote code execution via WinRM service detected on host system.,High
Detected activity: Remote code execution via WinRM service,High
Remote code execution via WinRM service activity logged.,High
Lateral movement using cloud console API calls,High
Lateral movement using cloud console API calls found during analysis.,High
Lateral movement using cloud console API calls detected on host system.,High
Suspicious behavior: Lateral movement using cloud console API calls,High
SSH command execution from untrusted IP,High
System alert: SSH command execution from untrusted IP,High
SSH command execution from untrusted IP activity logged.,High
SSH command execution from untrusted IP observed by monitoring service.,High
Suspicious VPN lateral movement activity,High
Suspicious VPN lateral movement activity was triggered on endpoint.,High
Suspicious VPN lateral movement activity detected on host system.,High
System alert: Suspicious VPN lateral movement activity,High
Unusual Kerberos ticket delegation detected,High
Unusual Kerberos ticket delegation detected was triggered on endpoint.,High
Alert generated: Unusual Kerberos ticket delegation detected,High
Security event - Unusual Kerberos ticket delegation detected,High
Remote registry modification attempt,High
Remote registry modification attempt was triggered on endpoint.,High
Suspicious behavior: Remote registry modification attempt,High
Alert generated: Remote registry modification attempt,High
Suspicious clipboard data collection,Medium
Suspicious behavior: Suspicious clipboard data collection,Medium
Suspicious clipboard data collection was triggered on endpoint.,Medium
Suspicious clipboard data collection observed by monitoring service.,Medium
Screen capture process started by unknown app,High
Screen capture process started by unknown app observed by monitoring service.,High
Alert generated: Screen capture process started by unknown app,High
Screen capture process started by unknown app found during analysis.,High
Keylogger process initiated in user session,High
Security event - Keylogger process initiated in user session,High
Keylogger process initiated in user session observed by monitoring service.,High
Keylogger process initiated in user session activity logged.,High
Audio capture from system microphone,High
System alert: Audio capture from system microphone,High
Detected activity: Audio capture from system microphone,High
Security event - Audio capture from system microphone,High
Sensitive file staged in temporary directory,High
Security event - Sensitive file staged in temporary directory,High
Detected activity: Sensitive file staged in temporary directory,High
Sensitive file staged in temporary directory detected on host system.,High
Large archive file created in sensitive folder,High
System alert: Large archive file created in sensitive folder,High
Large archive file created in sensitive folder activity logged.,High
Detected activity: Large archive file created in sensitive folder,High
Cloud storage upload of large file detected,Critical
Security event - Cloud storage upload of large file detected,Critical
Cloud storage upload of large file detected observed by monitoring service.,Critical
Cloud storage upload of large file detected found during analysis.,Critical
RAR compression of sensitive data detected,High
RAR compression of sensitive data detected detected on host system.,High
RAR compression of sensitive data detected activity logged.,High
Suspicious behavior: RAR compression of sensitive data detected,High
Document scanner output saved to external share,Medium
Security event - Document scanner output saved to external share,Medium
Suspicious behavior: Document scanner output saved to external share,Medium
Document scanner output saved to external share was triggered on endpoint.,Medium
Database dump saved to removable media,Critical
Security event - Database dump saved to removable media,Critical
Suspicious behavior: Database dump saved to removable media,Critical
System alert: Database dump saved to removable media,Critical
Collection of security logs from system,Medium
Collection of security logs from system found during analysis.,Medium
Collection of security logs from system observed by monitoring service.,Medium
Suspicious behavior: Collection of security logs from system,Medium
Browser cookies collected from profile,High
Detected activity: Browser cookies collected from profile,High
Browser cookies collected from profile was triggered on endpoint.,High
Browser cookies collected from profile observed by monitoring service.,High
Data staging in hidden directory,High
Data staging in hidden directory activity logged.,High
Suspicious behavior: Data staging in hidden directory,High
Data staging in hidden directory found during analysis.,High
Unusual database query returning massive dataset,High
Unusual database query returning massive dataset detected on host system.,High
Unusual database query returning massive dataset was triggered on endpoint.,High
Suspicious behavior: Unusual database query returning massive dataset,High
Cleartext credentials found in file,High
Alert generated: Cleartext credentials found in file,High
Cleartext credentials found in file found during analysis.,High
Cleartext credentials found in file detected on host system.,High
Unencrypted data sent over HTTP,Medium
Unencrypted data sent over HTTP found during analysis.,Medium
Detected activity: Unencrypted data sent over HTTP,Medium
Alert generated: Unencrypted data sent over HTTP,Medium
Exfiltration of files over HTTP POST,Critical
System alert: Exfiltration of files over HTTP POST,Critical
Exfiltration of files over HTTP POST detected on host system.,Critical
Security event - Exfiltration of files over HTTP POST,Critical
Exfiltration over DNS detected,Critical
Exfiltration over DNS detected found during analysis.,Critical
Alert generated: Exfiltration over DNS detected,Critical
Exfiltration over DNS detected was triggered on endpoint.,Critical
Exfiltration over HTTPS to unknown domain,Critical
System alert: Exfiltration over HTTPS to unknown domain,Critical
Exfiltration over HTTPS to unknown domain found during analysis.,Critical
Exfiltration over HTTPS to unknown domain detected on host system.,Critical
Exfiltration over SFTP to untrusted host,Critical
Detected activity: Exfiltration over SFTP to untrusted host,Critical
Exfiltration over SFTP to untrusted host detected on host system.,Critical
Exfiltration over SFTP to untrusted host activity logged.,Critical
Exfiltration over SMTP detected,Critical
Exfiltration over SMTP detected observed by monitoring service.,Critical
Suspicious behavior: Exfiltration over SMTP detected,Critical
Security event - Exfiltration over SMTP detected,Critical
Exfiltration over FTP to external IP,High
System alert: Exfiltration over FTP to external IP,High
Detected activity: Exfiltration over FTP to external IP,High
Alert generated: Exfiltration over FTP to external IP,High
Exfiltration to cloud storage provider,Critical
Exfiltration to cloud storage provider was triggered on endpoint.,Critical
Exfiltration to cloud storage provider found during analysis.,Critical
Security event - Exfiltration to cloud storage provider,Critical
Unusual data transfer to external IP,Critical
Unusual data transfer to external IP detected on host system.,Critical
Suspicious behavior: Unusual data transfer to external IP,Critical
Security event - Unusual data transfer to external IP,Critical
Steganographic data exfiltration detected,High
Steganographic data exfiltration detected activity logged.,High
Detected activity: Steganographic data exfiltration detected,High
Alert generated: Steganographic data exfiltration detected,High
TOR network used for data exfiltration,Critical
Security event - TOR network used for data exfiltration,Critical
TOR network used for data exfiltration was triggered on endpoint.,Critical
Alert generated: TOR network used for data exfiltration,Critical
Command and control over HTTP detected,Critical
Detected activity: Command and control over HTTP detected,Critical
Command and control over HTTP detected was triggered on endpoint.,Critical
Command and control over HTTP detected found during analysis.,Critical
Command and control over HTTPS detected,Critical
Command and control over HTTPS detected activity logged.,Critical
Suspicious behavior: Command and control over HTTPS detected,Critical
System alert: Command and control over HTTPS detected,Critical
Command and control over DNS detected,Critical
Suspicious behavior: Command and control over DNS detected,Critical
Command and control over DNS detected found during analysis.,Critical
Alert generated: Command and control over DNS detected,Critical
Command and control over ICMP detected,Critical
Command and control over ICMP detected found during analysis.,Critical
Command and control over ICMP detected activity logged.,Critical
Alert generated: Command and control over ICMP detected,Critical
Command and control over WebSocket detected,Critical
Command and control over WebSocket detected was triggered on endpoint.,Critical
Detected activity: Command and control over WebSocket detected,Critical
System alert: Command and control over WebSocket detected,Critical
C2 traffic via social media platform,High
C2 traffic via social media platform found during analysis.,High
C2 traffic via social media platform observed by monitoring service.,High
C2 traffic via social media platform detected on host system.,High
Custom encrypted protocol for C2 detected,Critical
Custom encrypted protocol for C2 detected detected on host system.,Critical
Custom encrypted protocol for C2 detected was triggered on endpoint.,Critical
Alert generated: Custom encrypted protocol for C2 detected,Critical
Beaconing to known C2 infrastructure,Critical
System alert: Beaconing to known C2 infrastructure,Critical
Beaconing to known C2 infrastructure was triggered on endpoint.,Critical
Suspicious behavior: Beaconing to known C2 infrastructure,Critical
Dynamic DNS used for C2 domain,High
Detected activity: Dynamic DNS used for C2 domain,High
Dynamic DNS used for C2 domain activity logged.,High
Dynamic DNS used for C2 domain observed by monitoring service.,High
Fast-flux DNS detected for C2,High
Detected activity: Fast-flux DNS detected for C2,High
Fast-flux DNS detected for C2 was triggered on endpoint.,High
Alert generated: Fast-flux DNS detected for C2,High
Malware using cloud service for C2,High
System alert: Malware using cloud service for C2,High
Malware using cloud service for C2 was triggered on endpoint.,High
Malware using cloud service for C2 observed by monitoring service.,High
Malware using email service for C2,High
Malware using email service for C2 observed by monitoring service.,High
Malware using email service for C2 found during analysis.,High
Malware using email service for C2 was triggered on endpoint.,High
C2 traffic via pastebin-like service,Medium
Suspicious behavior: C2 traffic via pastebin-like service,Medium
C2 traffic via pastebin-like service was triggered on endpoint.,Medium
Detected activity: C2 traffic via pastebin-like service,Medium
Ransomware encrypting large number of files,Critical
Security event - Ransomware encrypting large number of files,Critical
System alert: Ransomware encrypting large number of files,Critical
Ransomware encrypting large number of files found during analysis.,Critical
Master Boot Record overwrite detected,Critical
System alert: Master Boot Record overwrite detected,Critical
Master Boot Record overwrite detected activity logged.,Critical
Suspicious behavior: Master Boot Record overwrite detected,Critical
Disk partition wipe attempt detected,Critical
Disk partition wipe attempt detected was triggered on endpoint.,Critical
Disk partition wipe attempt detected detected on host system.,Critical
Detected activity: Disk partition wipe attempt detected,Critical
Firmware overwrite attempt detected,Critical
Firmware overwrite attempt detected found during analysis.,Critical
Firmware overwrite attempt detected was triggered on endpoint.,Critical
Detected activity: Firmware overwrite attempt detected,Critical
File deletion in critical system paths,Critical
File deletion in critical system paths activity logged.,Critical
File deletion in critical system paths detected on host system.,Critical
System alert: File deletion in critical system paths,Critical
Database record corruption detected,Critical
Database record corruption detected activity logged.,Critical
Database record corruption detected detected on host system.,Critical
System alert: Database record corruption detected,Critical
System recovery mechanism disabled,Critical
Suspicious behavior: System recovery mechanism disabled,Critical
Security event - System recovery mechanism disabled,Critical
System alert: System recovery mechanism disabled,Critical
Website defacement detected,High
Suspicious behavior: Website defacement detected,High
Website defacement detected was triggered on endpoint.,High
Website defacement detected detected on host system.,High
Critical service stopped unexpectedly,High
Security event - Critical service stopped unexpectedly,High
System alert: Critical service stopped unexpectedly,High
Critical service stopped unexpectedly found during analysis.,High
Backup service disabled,High
Security event - Backup service disabled,High
Backup service disabled was triggered on endpoint.,High
Suspicious behavior: Backup service disabled,High
Industrial control system disruption,Critical
Industrial control system disruption activity logged.,Critical
System alert: Industrial control system disruption,Critical
Industrial control system disruption found during analysis.,Critical
Safety system shutdown detected,Critical
Alert generated: Safety system shutdown detected,Critical
Detected activity: Safety system shutdown detected,Critical
System alert: Safety system shutdown detected,Critical
Denial of service via resource exhaustion,High
Denial of service via resource exhaustion observed by monitoring service.,High
Detected activity: Denial of service via resource exhaustion,High
Suspicious behavior: Denial of service via resource exhaustion,High
Application crash from malformed request,Medium
Application crash from malformed request found during analysis.,Medium
Application crash from malformed request was triggered on endpoint.,Medium
Application crash from malformed request activity logged.,Medium
Network communications disabled unexpectedly,High
Detected activity: Network communications disabled unexpectedly,High
Network communications disabled unexpectedly observed by monitoring service.,High
Network communications disabled unexpectedly detected on host system.,High
Ransom note file created in user directories,Critical
Ransom note file created in user directories was triggered on endpoint.,Critical
Ransom note file created in user directories observed by monitoring service.,Critical
System alert: Ransom note file created in user directories,Critical
SCADA system data manipulation detected,Critical
Security event - SCADA system data manipulation detected,Critical
SCADA system data manipulation detected detected on host system.,Critical
Alert generated: SCADA system data manipulation detected,Critical
Fraudulent transaction in financial system,Critical
Fraudulent transaction in financial system found during analysis.,Critical
Fraudulent transaction in financial system was triggered on endpoint.,Critical
Fraudulent transaction in financial system activity logged.,Critical
Tampering with system event logs,High
Tampering with system event logs was triggered on endpoint.,High
Alert generated: Tampering with system event logs,High
Tampering with system event logs activity logged.,High
System clock manipulated,High
Suspicious behavior: System clock manipulated,High
System clock manipulated was triggered on endpoint.,High
System clock manipulated observed by monitoring service.,High
Multiple user accounts locked simultaneously,High
Multiple user accounts locked simultaneously detected on host system.,High
System alert: Multiple user accounts locked simultaneously,High
Detected activity: Multiple user accounts locked simultaneously,High
Database encrypted without key escrow,Critical
Database encrypted without key escrow found during analysis.,Critical
Detected activity: Database encrypted without key escrow,Critical
Database encrypted without key escrow detected on host system.,Critical
Mass deletion of user home directories,Critical
Detected activity: Mass deletion of user home directories,Critical
Mass deletion of user home directories was triggered on endpoint.,Critical
Mass deletion of user home directories detected on host system.,Critical
Data destruction on cloud storage bucket,Critical
Data destruction on cloud storage bucket observed by monitoring service.,Critical
System alert: Data destruction on cloud storage bucket,Critical
Detected activity: Data destruction on cloud storage bucket,Critical
Critical configuration files overwritten,Critical
Detected activity: Critical configuration files overwritten,Critical
System alert: Critical configuration files overwritten,Critical
Critical configuration files overwritten was triggered on endpoint.,Critical
Sabotage of production server detected,Critical
Alert generated: Sabotage of production server detected,Critical
Sabotage of production server detected observed by monitoring service.,Critical
Sabotage of production server detected detected on host system.,Critical
Malware overwriting executable binaries,Critical
Malware overwriting executable binaries activity logged.,Critical
Malware overwriting executable binaries observed by monitoring service.,Critical
Malware overwriting executable binaries was triggered on endpoint.,Critical
